name,longitude,latitude,no
Birmingham,-86.779633,33.543682,2
Phoenix,-112.074036,33.448376,3
Alameda,-122.241638,37.765205,1
Bakersfield/Kern,-119.043732,35.393528,1
Berkeley,-122.272781,37.871666,2
El Dorado,-121.081268,38.686295,1
Fremont,-121.988571,37.548271,1
Hayward,-122.080795,37.668819,1
Kern County,-118.6675922,35.296071,1
Los Angeles,-118.243683,34.052235,20
Merced,-120.4829677,37.3021633,1
Monterey,-121.89846,36.603954,1
Moreno Valley,-117.229675,33.942467,1
Oakland,-122.271111,37.804363,9
Sacramento,-121.478851,38.575764,1
San Bernardino,-117.302399,34.115784,1
San Diego,-117.161087,32.715736,2
San Francisco,-122.431297,37.773972,2
San Leandro,-122.15608,37.72493,1
Santa Clara County,-121.955238,37.354107,1
Santa Rosa,-122.720306,38.44466,1
Stockton,-121.275604,37.961632,1
Denver,-104.991531,39.742043,2
Hartford,-72.685097,41.76371,1
Washington DC,-77.03637,38.89511,22
Boynton Beach,-80.06643,26.52535,1
Fort Lauderdale,-80.137314,26.122438,1
Jacksonville,-81.655647,30.332184,1
Miami,-80.191788,25.761681,15
Palm Beach,-80.064163,26.709723,1
Panama City,-85.805489,30.176592,1
Tampa,-82.452606,27.964157,3
Atlanta,-84.38633,33.753746,7
Fulton County,-84.4499292,33.7667732,3
Macon,-83.634705,32.838131,1
Norcross,-84.213531,33.941212,1
Savannah,-81.088371,32.076176,2
Dubuque,-90.6901273,42.5044469,1
Chicago,-87.623177,41.881832,22
Marion,-85.65914,40.55837,2
Michigan City,-86.899284,41.723541,1
Mishawaka,-86.167348,41.6707243,1
Florence,-84.6266111,38.9989499,1
Hazard,-83.1932284,37.24954,1
Lexington/Fayette,-84.4585485,38.0497996,1
Louisville,-85.764771,38.328732,4
Baton Rouge,-91.147385,30.471165,4
New Orleans,-90.071533,29.951065,11
Barnstable,-70.29947,41.70011,1
Boston,-71.057083,42.361145,3
Worchester,-71.798889,42.271389,1
Baltimore,-76.609383,39.299236,15
Prince Georges County,-76.8496937,38.8334467,3
Detroit,-83.045753,42.331429,6
Mt. Pleasant,-84.7675139,43.5978075,1
Traverse City,-85.620632,44.763057,2
West Branch,-84.2386132,44.2764083,1
Minneapolis,-93.258133,44.986656,1
St. Louis,-90.199402,38.627003,1
Biloxi,-88.885307,30.396032,1
Jackson,-90.184807,32.298756,3
Avery County,-81.93317,36.1001259,1
Charlotte,-80.843124,35.227085,3
Gastonia,-81.180275,35.25528,1
Greensboro,-79.766235,36.044659,1
Greenville,-77.366356,35.612659,1
Hendersonville,-82.4609528,35.3187279,1
Madison County,-82.6665265,35.8667729,1
Raleigh/Durham,-78.644257,35.787743,2
Camden,-75.119621,39.925945,1
Englewood,-73.972638,40.892877,1
Hackensack,-74.0456958,40.889266,1
Jersey City,-74.050552,40.719074,2
Livingston,-74.3148713,40.7959335,1
New Brunswick,-74.4518188,40.4862158,1
Newark,-74.172363,40.735657,3
Paterson,-74.162827,40.914745,2
Teaneck,-74.0159727,40.8975992,1
Vineland,-75.0257313,39.4862267,1
Albuquerque,-106.629181,35.106766,3
Santa Fe,-105.944183,35.691544,1
Las Vegas,-115.172813,36.114647,2
Albany,-73.756233,42.65258,1
Buffalo,-78.878738,42.88023,3
New York,-73.935242,40.73061,28
Syracuse/Onondaga,-76.15448,43.088947,1
Cincinnati,-84.512016,39.103119,2
Cleveland,-81.68129,41.505493,2
Columbus,-82.98333,39.983334,3
Portland,-122.676483,45.523064,3
Salem,-123.040283,44.944099,1
Philadelphia,-75.165222,39.952583,19
Pittsburgh,-79.995888,40.440624,2
Charleston,-79.940918,32.784618,1
Columbia,-81.163727,33.836082,2
Greenville Spartanburg,-82.394012,34.852619,1
Hartsville,-80.082478,34.3661502,1
Rock Hill,-81.025078,34.924866,1
Knoxville,-83.926453,35.964668,2
Nashville,-86.76796,36.174465,2
Austin,-97.73333,30.266666,1
Beaumont,-94.118637,30.081987,2
Dallas,-96.808891,32.779167,3
El Paso,-106.460953,31.772543,2
Galveston,-94.7977,29.30135,1
Houston,-95.358421,29.749907,15
San Antonio,-98.491142,29.424349,2
Richmond,-77.434769,37.54129,2
Roanoke,-79.941429,37.270969,1
Seattle,-122.335167,47.608013,2
Madison,-89.40123,43.073051,1
Milwaukee,-87.906471,43.038902,1
Charleston/Kanawha,-81.632622,38.349819,2
Huntington,-82.446732,38.413651,1
Morgantown,-79.955894,39.629524,2
Scott Depot,-81.9168002,38.4417575,1
